,Unnamed: 0,name,url,party,state,district,chamber,congress_numbers,start,end,last_name,state_abbreviation,rep_id,last_name_state
480,480,"Jackson, Jesse L., Jr.",https://www.congress.gov/member/jesse-jackson/J000283,Democratic,Illinois,2,House,"[104, 105, 106, 107, 108, 109, 110, 111, 112]",1995,2012.0,Jackson,IL,J000283,Jackson (IL)
481,481,"Jacobs, Chris",https://www.congress.gov/member/chris-jacobs/J000020,Republican,New York,27,House,[116],2020,inf,Jacobs,NY,J000020,Jacobs (NY)
482,482,"Jayapal, Pramila",https://www.congress.gov/member/pramila-jayapal/J000298,Democratic,Washington,7,House,"[115, 116]",2017,inf,Jayapal,WA,J000298,Jayapal (WA)
483,483,"Jefferson, William J.",https://www.congress.gov/member/william-jefferson/J000070,Democratic,Louisiana,2,House,"[102, 103, 104, 105, 106, 107, 108, 109, 110]",1991,2009.0,Jefferson,LA,J000070,Jefferson (LA)
484,484,"Jeffries, Hakeem S.",https://www.congress.gov/member/hakeem-jeffries/J000294,Democratic,New York,8,House,"[113, 114, 115, 116]",2013,inf,Jeffries,NY,J000294,Jeffries (NY)
485,485,"Jenkins, Evan H.",https://www.congress.gov/member/evan-jenkins/J000297,Republican,West Virginia,3,House,"[114, 115]",2015,2018.0,Jenkins,WV,J000297,Jenkins (WV)
486,486,"Jenkins, Lynn",https://www.congress.gov/member/lynn-jenkins/J000290,Republican,Kansas,2,House,"[111, 112, 113, 114, 115]",2009,2019.0,Jenkins,KS,J000290,Jenkins (KS)
487,487,"Jindal, Bobby",https://www.congress.gov/member/bobby-jindal/J000287,Republican,Louisiana,1,House,"[109, 110]",2005,2008.0,Jindal,LA,J000287,Jindal (LA)
488,488,"Johnson, Bill",https://www.congress.gov/member/bill-johnson/J000292,Republican,Ohio,6,House,"[112, 113, 114, 115, 116]",2011,inf,Johnson,OH,J000292,Johnson (OH)
489,489,"Johnson, Dusty",https://www.congress.gov/member/dusty-johnson/J000301,Republican,South Dakota,At Large,House,[116],2019,inf,Johnson,SD,J000301,Johnson (SD)
490,490,"Johnson, Eddie Bernice",https://www.congress.gov/member/eddie-johnson/J000126,Democratic,Texas,30,House,"[103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]",1993,inf,Johnson,TX,J000126,Johnson (TX)
491,491,"Johnson, Henry C. ""Hank,"" Jr.",https://www.congress.gov/member/henry-johnson/J000288,Democratic,Georgia,4,House,"[110, 111, 112, 113, 114, 115, 116]",2007,inf,Johnson,GA,J000288,Johnson (GA)
492,492,"Johnson, Mike",https://www.congress.gov/member/mike-johnson/J000299,Republican,Louisiana,4,House,"[115, 116]",2017,inf,Johnson,LA,J000299,Johnson (LA)
493,493,"Johnson, Sam",https://www.congress.gov/member/sam-johnson/J000174,Republican,Texas,3,House,"[102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115]",1991,2019.0,Johnson,TX,J000174,Johnson (TX)
494,494,"Johnson, Tim",https://www.congress.gov/member/tim-johnson/J000177,Democratic,South Dakota,At Large,House,"[100, 101, 102, 103, 104]",1987,1997.0,Johnson,SD,J000177,Johnson (SD)
495,495,"Johnson, Timothy V.",https://www.congress.gov/member/timothy-johnson/J000285,Republican,Illinois,15,House,"[107, 108, 109, 110, 111, 112]",2001,2013.0,Johnson,IL,J000285,Johnson (IL)
496,496,"Jolly, David W.",https://www.congress.gov/member/david-jolly/J000296,Republican,Florida,13,House,"[113, 114]",2014,2017.0,Jolly,FL,J000296,Jolly (FL)
497,497,"Jones, Brenda",https://www.congress.gov/member/brenda-jones/J000303,Democratic,Michigan,13,House,[115],2018,2019.0,Jones,MI,J000303,Jones (MI)
498,498,"Jones, Stephanie Tubbs",https://www.congress.gov/member/stephanie-jones/J000284,Democratic,Ohio,11,House,"[106, 107, 108, 109, 110]",1999,2008.0,Jones,OH,J000284,Jones (OH)
499,499,"Jones, Walter B., Jr.",https://www.congress.gov/member/walter-jones/J000255,Republican,North Carolina,3,House,"[104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]",1995,2019.0,Jones,NC,J000255,Jones (NC)
500,500,"Jordan, Jim",https://www.congress.gov/member/jim-jordan/J000289,Republican,Ohio,4,House,"[110, 111, 112, 113, 114, 115, 116]",2007,inf,Jordan,OH,J000289,Jordan (OH)
501,501,"Joyce, David P.",https://www.congress.gov/member/david-joyce/J000295,Republican,Ohio,14,House,"[113, 114, 115, 116]",2013,inf,Joyce,OH,J000295,Joyce (OH)
502,502,"Joyce, John",https://www.congress.gov/member/john-joyce/J000302,Republican,Pennsylvania,13,House,[116],2019,inf,Joyce,PA,J000302,Joyce (PA)
503,503,"Kagen, Steve",https://www.congress.gov/member/steve-kagen/K000365,Democratic,Wisconsin,8,House,"[110, 111]",2007,2011.0,Kagen,WI,K000365,Kagen (WI)
504,504,"Kanjorski, Paul E.",https://www.congress.gov/member/paul-kanjorski/K000008,Democratic,Pennsylvania,11,House,"[99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111]",1985,2011.0,Kanjorski,PA,K000008,Kanjorski (PA)
505,505,"Kaptur, Marcy",https://www.congress.gov/member/marcy-kaptur/K000009,Democratic,Ohio,9,House,"[98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]",1983,inf,Kaptur,OH,K000009,Kaptur (OH)
506,506,"Katko, John",https://www.congress.gov/member/john-katko/K000386,Republican,New York,24,House,"[114, 115, 116]",2015,inf,Katko,NY,K000386,Katko (NY)
507,507,"Keating, William R.",https://www.congress.gov/member/william-keating/K000375,Democratic,Massachusetts,9,House,"[113, 114, 115, 116]",2013,inf,Keating,MA,K000375,Keating (MA)
508,508,"Keating, William R.",https://www.congress.gov/member/william-keating/K000375,Democratic,Massachusetts,10,House,[112],2011,2013.0,Keating,MA,K000375,Keating (MA)
509,509,"Keller, Fred",https://www.congress.gov/member/fred-keller/K000395,Republican,Pennsylvania,12,House,[116],2019,inf,Keller,PA,K000395,Keller (PA)
510,510,"Keller, Ric",https://www.congress.gov/member/ric-keller/K000361,Republican,Florida,8,House,"[107, 108, 109, 110]",2001,2009.0,Keller,FL,K000361,Keller (FL)
511,511,"Kelly, Mike",https://www.congress.gov/member/mike-kelly/K000376,Republican,Pennsylvania,16,House,[116],2019,inf,Kelly,PA,K000376,Kelly (PA)
512,512,"Kelly, Mike",https://www.congress.gov/member/mike-kelly/K000376,Republican,Pennsylvania,3,House,"[112, 113, 114, 115]",2011,2019.0,Kelly,PA,K000376,Kelly (PA)
513,513,"Kelly, Robin L.",https://www.congress.gov/member/robin-kelly/K000385,Democratic,Illinois,2,House,"[113, 114, 115, 116]",2013,inf,Kelly,IL,K000385,Kelly (IL)
514,514,"Kelly, Trent",https://www.congress.gov/member/trent-kelly/K000388,Republican,Mississippi,1,House,"[114, 115, 116]",2015,inf,Kelly,MS,K000388,Kelly (MS)
515,515,"Kennedy, Joseph P., III",https://www.congress.gov/member/joseph-kennedy/K000379,Democratic,Massachusetts,4,House,"[113, 114, 115, 116]",2013,inf,Kennedy,MA,K000379,Kennedy (MA)
516,516,"Kennedy, Patrick J.",https://www.congress.gov/member/patrick-kennedy/K000113,Democratic,Rhode Island,1,House,"[104, 105, 106, 107, 108, 109, 110, 111]",1995,2011.0,Kennedy,RI,K000113,Kennedy (RI)
